taxa,Maize Type
NC294,Stiff Stalk
NC310,Stiff Stalk
NC326,Stiff Stalk
NC328,Stiff Stalk
NC368,Stiff Stalk
NK807,Stiff Stalk
NKH8431,Stiff Stalk
NS701,Stiff Stalk
PHAA0,Stiff Stalk
PHB09,Stiff Stalk
PHB47,Stiff Stalk
PHBB3,Stiff Stalk
PHBW8,Stiff Stalk
PHEG9,Stiff Stalk
PHG39,Stiff Stalk
PHG71,Stiff Stalk
PHG80,Stiff Stalk
PHG86,Stiff Stalk
PHJ40,Stiff Stalk
PHJR5,Stiff Stalk
PHK29,Stiff Stalk
PHK35,Stiff Stalk
PHN66,Stiff Stalk
PHP38,Stiff Stalk
PHP85,Stiff Stalk
PHPR5,Stiff Stalk
PHT10,Stiff Stalk
PHT11,Stiff Stalk
PHT47,Stiff Stalk
PHT55,Stiff Stalk
PHT69,Stiff Stalk
PHV37,Stiff Stalk
PHV63,Stiff Stalk
PHVA9,Stiff Stalk
PHW17,Stiff Stalk
PHW52,Stiff Stalk
R227,Stiff Stalk
R229,Stiff Stalk
SD101,Stiff Stalk
SD107,Stiff Stalk
Tr,Stiff Stalk
W809G,Stiff Stalk
W811G,Stiff Stalk
W812G,Stiff Stalk
W813G,Stiff Stalk
W819G,Stiff Stalk
W820G,Stiff Stalk
W8304,Stiff Stalk
ZS365,Stiff Stalk
ZS635,Stiff Stalk
CA-4,Sweet Corn
Ia-453,Sweet Corn
IA2132,Sweet Corn
Il778d,Sweet Corn
T242,Sweet Corn
4F-234-BX-4,Tropical
4F-35-BK,Tropical
A272,Tropical
F2834T,Tropical
HUANYAO,Tropical
HUOBAI,Tropical
INBRED-109,Tropical
INBRED-2-687,Tropical
INBRED-321,Tropical
NC412,Tropical
NY6371,Tropical
YE-4,Tropical
4226,Unknown
33-16,Unknown
4F-306-108,Unknown
A188,Unknown
A305,Unknown
A322,Unknown
A334,Unknown
A427,Unknown
A572,Unknown
A663,Unknown
A674,Unknown
A71,Unknown
A797NW,Unknown
B108,Unknown
B115,Unknown
B164,Unknown
B46,Unknown
B57,Unknown
B75,Unknown
B77,Unknown
B79,Unknown
B85,Unknown
B87,Unknown
B88,Unknown
B98,Unknown
BEI-10,Unknown
BO9,Unknown
CG102,Unknown
CH701-30,Unknown
CH711-10,Unknown
CH9,Unknown
CI-40H,Unknown
CR-22,Unknown
DK4676A,Unknown
Eng-Li-Chih,Unknown
G80,Unknown
H110,Unknown
H121,Unknown
H42,Unknown
H96,Unknown
H99,Unknown
INBRED-141,Unknown
INBRED-305,Unknown
INBRED-309,Unknown
J47,Unknown
K150,Unknown
K41,Unknown
K55,Unknown
KUNG-70,Unknown
L-289,Unknown
LH82,Unknown
LH93,Unknown
M14,Unknown
Mo45,Unknown
Mo46,Unknown
Mo47,Unknown
MoG,Unknown
MS116,Unknown
MS200,Unknown
MS224,Unknown
MS225,Unknown
MS226,Unknown
MS24A,Unknown
MS72,Unknown
NORTH-7,Unknown
NP899,Unknown
Ny821,Unknown
OC19,Unknown
OH33,Unknown
Pa392,Unknown
Pa875,Unknown
Pa880,Unknown
PHHV4,Unknown
PHR30,Unknown
R177,Unknown
R78,Unknown
TZU-CHIAO-HSI-WU-105,Unknown
VaW6,Unknown
W24,Unknown
WU-TAN-TZAO,Unknown
WXB6,Unknown
YING-55,Unknown
YONG-28,Unknown
Yu796-NS,Unknown
